model,city,input_station_days,input_city_days,input_episode_station_days,input_episode_city_days,input_observed_events,comparator,persistent_only,n_station_days,n_city_days,n_stations,n_strata,n_episode_station_days,n_episode_city_days,n_episodes,n_compound_city_days,n_years_observed,n_year_blocks,rank_at_pinv_tolerance,parameters,condition_number,weighted_rmse,total_weight,station_days_episode,city_days_episode,station_days_neither,city_days_neither,station_days_heat_only,city_days_heat_only,station_days_wind_only,city_days_wind_only,station_days_other_compound,city_days_other_compound
p80_p20_min2_sep7,Atlanta,3704,1284,210,72,21,multicategory,False,3701,1284,3,868,209,72,21,107,6,6,15,15,232.3935018756743,2.9833826307757874,1283.9999999999998,209,72,2546,881,452,162,392,134,102,35
p80_p20_min2_sep7,Chicago,4663,1284,70,21,9,multicategory,False,4644,1284,4,1108,70,21,9,63,6,6,15,15,153.22825587485457,3.925467631733546,1284.0,70,21,3101,842,678,193,647,186,148,42
p80_p20_min2_sep7,Dallas,4551,1284,103,29,10,multicategory,False,4519,1284,4,1109,103,29,10,56,6,6,15,15,169.2189500853395,2.5545309498680826,1284.0,103,29,2806,775,796,247,719,206,95,27
p80_p20_min2_sep7,Denver,6049,1284,8,2,1,multicategory,False,6040,1284,5,1461,8,2,1,24,6,6,15,15,735.9903704339223,3.372249082698905,1284.0,8,2,3721,789,1113,240,1096,231,102,22
p80_p20_min2_sep7,Houston,11010,1284,467,54,17,multicategory,False,10963,1284,10,2687,467,54,17,80,6,6,15,15,481.25875641341304,3.2475810062300337,1284.0,467,54,6501,751,2021,245,1759,208,215,26
p80_p20_min2_sep7,Los Angeles,9254,1284,282,39,13,multicategory,False,9253,1284,8,2148,282,39,13,84,6,6,15,15,811.2165630359035,3.2415428399750983,1283.9999999999998,282,39,6075,841,1114,155,1453,204,329,45
p80_p20_min2_sep7,New York,10749,1284,251,30,12,multicategory,False,10742,1284,9,2527,249,30,12,61,6,6,15,15,216.7382893006913,3.804329803924776,1284.0,249,30,7074,846,1518,179,1646,198,255,31
p80_p20_min2_sep7,Philadelphia,5982,1284,124,27,11,multicategory,False,5975,1284,6,1435,123,27,11,48,6,6,15,15,164.30018563507346,3.4104419254290943,1284.0,123,27,3866,826,871,192,1022,218,93,21
p80_p20_min2_sep7,Phoenix,5991,1284,10,2,1,multicategory,False,5991,1284,6,1414,10,2,1,22,6,6,15,15,582.8686655469442,2.950946438155275,1284.0,10,2,3589,770,1228,268,1073,224,91,20
p80_p20_min2_sep7,San Diego,5057,1284,193,47,17,multicategory,False,5051,1284,5,1198,193,47,17,78,6,6,15,15,656.9800145298527,1.6776228537299074,1284.0,193,47,3261,837,684,172,790,197,123,31
p80_p20_min2_sep7,Seattle,2448,1282,27,14,6,multicategory,False,2447,1282,2,587,27,14,6,62,6,6,15,15,515.2348126204593,3.3938298020473776,1282.0,27,14,1571,821,411,221,347,178,91,48
