model,contrast,city,estimate_ppb,estimable,n_station_days,n_city_days,n_stations,n_strata,n_episode_station_days,n_episode_city_days,n_episodes,n_compound_city_days,n_years_observed,n_year_blocks,rank_at_pinv_tolerance,parameters,condition_number,weighted_rmse,total_weight,station_days_episode,city_days_episode,station_days_neither,city_days_neither,station_days_heat_only,city_days_heat_only,station_days_wind_only,city_days_wind_only,station_days_other_compound,city_days_other_compound
calendar_only,episode_vs_wind_only,Los Angeles,5.176412660018017,True,9253,1284,8,2148,556,76,24,127,6,6,4,4,4.6365391401514655,3.8917590130083823,1283.9999999999998,556,76,5374,743,808,112,2154,302,361,51
calendar_only,episode_vs_wind_only,New York,0.5563429320508657,True,10742,1284,9,2527,466,56,21,98,6,6,4,4,7.348101714813903,3.972601019366622,1284.0,466,56,6280,751,1205,142,2440,293,351,42
calendar_only,episode_vs_wind_only,Philadelphia,0.19795707780783278,True,5975,1284,6,1435,145,33,13,76,6,6,4,4,9.659559829909716,3.456110130872663,1284.0,145,33,3414,730,743,164,1474,314,199,43
calendar_only,episode_vs_wind_only,Phoenix,3.133373736495165,True,5991,1284,6,1414,72,16,8,49,6,6,4,4,16.131825871745054,3.5953373220721003,1284.0,72,16,3096,666,1104,241,1566,328,153,33
calendar_only,episode_vs_wind_only,San Diego,3.4910681536994588,True,5051,1284,5,1198,291,72,26,110,6,6,4,4,6.74428996442968,2.232087223979193,1284.0,291,72,2858,735,559,140,1193,299,150,38
calendar_only,episode_vs_wind_only,Seattle,2.5267871939978805,True,2447,1282,2,587,78,40,16,104,6,6,4,4,6.845839580621302,3.580838697320638,1282.0,78,40,1407,735,331,179,511,264,120,64
calendar_only,episode_vs_heat_only,Atlanta,2.4244569165859313,True,3701,1284,3,868,288,99,27,133,6,6,4,4,6.512561083213631,3.354308426840015,1283.9999999999998,288,99,2250,780,376,136,688,235,99,34
calendar_only,episode_vs_heat_only,Chicago,3.732587013477684,True,4644,1284,4,1108,108,33,14,98,6,6,4,4,8.416815195725588,4.296057387363512,1284.0,108,33,2723,738,554,158,1025,290,234,65
calendar_only,episode_vs_heat_only,Dallas,4.076770450318792,True,4519,1284,4,1109,156,46,14,85,6,6,4,4,8.487844189004713,2.760958234117277,1284.0,156,46,2490,686,704,218,1035,295,134,39
calendar_only,episode_vs_heat_only,Denver,0.7840927484951257,True,6040,1284,5,1461,37,8,4,41,6,6,4,4,34.44485196225905,3.793545566979347,1284.0,37,8,3185,676,1033,223,1632,344,153,33
calendar_only,episode_vs_heat_only,Houston,3.321757074851474,True,10963,1284,10,2687,649,76,22,118,6,6,4,4,7.155025869424365,3.4275003703332736,1284.0,649,76,5754,664,1706,207,2506,295,348,42
calendar_only,episode_vs_heat_only,Los Angeles,2.1987650870294058,True,9253,1284,8,2148,556,76,24,127,6,6,4,4,4.6365391401514655,3.8917590130083823,1283.9999999999998,556,76,5374,743,808,112,2154,302,361,51
calendar_only,episode_vs_heat_only,New York,3.5651736489408647,True,10742,1284,9,2527,466,56,21,98,6,6,4,4,7.348101714813903,3.972601019366622,1284.0,466,56,6280,751,1205,142,2440,293,351,42
calendar_only,episode_vs_heat_only,Philadelphia,0.9701447354752508,True,5975,1284,6,1435,145,33,13,76,6,6,4,4,9.659559829909716,3.456110130872663,1284.0,145,33,3414,730,743,164,1474,314,199,43
calendar_only,episode_vs_heat_only,Phoenix,5.209862320446851,True,5991,1284,6,1414,72,16,8,49,6,6,4,4,16.131825871745054,3.5953373220721003,1284.0,72,16,3096,666,1104,241,1566,328,153,33
calendar_only,episode_vs_heat_only,San Diego,0.3445462334418572,True,5051,1284,5,1198,291,72,26,110,6,6,4,4,6.74428996442968,2.232087223979193,1284.0,291,72,2858,735,559,140,1193,299,150,38
calendar_only,episode_vs_heat_only,Seattle,1.8207883109687817,True,2447,1282,2,587,78,40,16,104,6,6,4,4,6.845839580621302,3.580838697320638,1282.0,78,40,1407,735,331,179,511,264,120,64
