model,contrast,city,estimate_ppb,estimable,n_station_days,n_city_days,n_stations,n_strata,n_episode_station_days,n_episode_city_days,n_episodes,n_compound_city_days,n_years_observed,n_year_blocks,rank_at_pinv_tolerance,parameters,condition_number,weighted_rmse,total_weight,station_days_episode,city_days_episode,station_days_neither,city_days_neither,station_days_heat_only,city_days_heat_only,station_days_wind_only,city_days_wind_only,station_days_other_compound,city_days_other_compound
p80_p30_min3_sep7,episode_vs_reference,Atlanta,2.694290074149659,True,3701,1284,3,868,226,76,15,133,6,6,15,15,232.1528261073762,2.9629001912911237,1283.9999999999998,226,76,2250,780,376,136,688,235,161,57
p80_p30_min3_sep7,episode_vs_reference,Chicago,5.27827206769998,True,4644,1284,4,1108,69,20,6,98,6,6,15,15,152.55754686182493,3.8358549773658592,1284.0,69,20,2723,738,554,158,1025,290,273,78
p80_p30_min3_sep7,episode_vs_reference,Dallas,2.1239320927706213,True,4519,1284,4,1109,118,35,8,85,6,6,15,15,169.45499062818286,2.519586477352338,1284.0,118,35,2490,686,704,218,1035,295,172,50
p80_p30_min3_sep7,episode_vs_reference,Denver,,False,6040,1284,5,1461,0,0,0,41,6,6,14,15,inf,3.357487304059484,1284.0,0,0,3185,676,1033,223,1632,344,190,41
p80_p30_min3_sep7,episode_vs_reference,Houston,1.9296551822339232,True,10963,1284,10,2687,480,55,11,118,6,6,15,15,479.56632765998353,3.1921343591748386,1284.0,480,55,5754,664,1706,207,2506,295,517,63
p80_p30_min3_sep7,episode_vs_reference,Los Angeles,3.3255739614458086,True,9253,1284,8,2148,483,65,15,127,6,6,15,15,808.9202453787673,3.235304842427865,1283.9999999999998,483,65,5374,743,808,112,2154,302,434,62
p80_p30_min3_sep7,episode_vs_reference,New York,5.358978420436273,True,10742,1284,9,2527,241,30,8,98,6,6,15,15,218.46606891109317,3.77862459166808,1284.0,241,30,6280,751,1205,142,2440,293,576,68
p80_p30_min3_sep7,episode_vs_reference,Philadelphia,1.6337019083907462,True,5975,1284,6,1435,84,18,5,76,6,6,15,15,166.9051189649232,3.401840903392986,1284.0,84,18,3414,730,743,164,1474,314,260,58
p80_p30_min3_sep7,episode_vs_reference,Phoenix,,False,5991,1284,6,1414,0,0,0,49,6,6,14,15,inf,2.8681527926450303,1284.0,0,0,3096,666,1104,241,1566,328,225,49
p80_p30_min3_sep7,episode_vs_reference,San Diego,2.944424923503126,True,5051,1284,5,1198,177,44,12,110,6,6,15,15,656.0418022528208,1.6584667268653859,1284.0,177,44,2858,735,559,140,1193,299,264,66
p80_p30_min3_sep7,episode_vs_reference,Seattle,4.653999924582645,True,2447,1282,2,587,44,23,6,104,6,6,15,15,515.2414962924169,3.356122266315981,1282.0,44,23,1407,735,331,179,511,264,154,81
p80_p30_min3_sep7,heat_only_vs_reference,Atlanta,-0.0016385516179628634,True,3701,1284,3,868,226,76,15,133,6,6,15,15,232.1528261073762,2.9629001912911237,1283.9999999999998,226,76,2250,780,376,136,688,235,161,57
p80_p30_min3_sep7,heat_only_vs_reference,Chicago,0.5143474586511969,True,4644,1284,4,1108,69,20,6,98,6,6,15,15,152.55754686182493,3.8358549773658592,1284.0,69,20,2723,738,554,158,1025,290,273,78
p80_p30_min3_sep7,heat_only_vs_reference,Dallas,-1.0669382952162407,True,4519,1284,4,1109,118,35,8,85,6,6,15,15,169.45499062818286,2.519586477352338,1284.0,118,35,2490,686,704,218,1035,295,172,50
p80_p30_min3_sep7,heat_only_vs_reference,Denver,0.4408833240263248,True,6040,1284,5,1461,0,0,0,41,6,6,14,15,inf,3.357487304059484,1284.0,0,0,3185,676,1033,223,1632,344,190,41
p80_p30_min3_sep7,heat_only_vs_reference,Houston,-1.2844981544478022,True,10963,1284,10,2687,480,55,11,118,6,6,15,15,479.56632765998353,3.1921343591748386,1284.0,480,55,5754,664,1706,207,2506,295,517,63
p80_p30_min3_sep7,heat_only_vs_reference,Los Angeles,0.9015071340594769,True,9253,1284,8,2148,483,65,15,127,6,6,15,15,808.9202453787673,3.235304842427865,1283.9999999999998,483,65,5374,743,808,112,2154,302,434,62
p80_p30_min3_sep7,heat_only_vs_reference,New York,1.1329051424369339,True,10742,1284,9,2527,241,30,8,98,6,6,15,15,218.46606891109317,3.77862459166808,1284.0,241,30,6280,751,1205,142,2440,293,576,68
p80_p30_min3_sep7,heat_only_vs_reference,Philadelphia,0.87348887506753,True,5975,1284,6,1435,84,18,5,76,6,6,15,15,166.9051189649232,3.401840903392986,1284.0,84,18,3414,730,743,164,1474,314,260,58
p80_p30_min3_sep7,heat_only_vs_reference,Phoenix,-0.09068881075293783,True,5991,1284,6,1414,0,0,0,49,6,6,14,15,inf,2.8681527926450303,1284.0,0,0,3096,666,1104,241,1566,328,225,49
p80_p30_min3_sep7,heat_only_vs_reference,San Diego,0.7319556221263214,True,5051,1284,5,1198,177,44,12,110,6,6,15,15,656.0418022528208,1.6584667268653859,1284.0,177,44,2858,735,559,140,1193,299,264,66
p80_p30_min3_sep7,heat_only_vs_reference,Seattle,3.7276816258005536,True,2447,1282,2,587,44,23,6,104,6,6,15,15,515.2414962924169,3.356122266315981,1282.0,44,23,1407,735,331,179,511,264,154,81
p80_p30_min3_sep7,wind_only_vs_reference,Atlanta,1.8710793657731586,True,3701,1284,3,868,226,76,15,133,6,6,15,15,232.1528261073762,2.9629001912911237,1283.9999999999998,226,76,2250,780,376,136,688,235,161,57
p80_p30_min3_sep7,wind_only_vs_reference,Chicago,4.398349681482845,True,4644,1284,4,1108,69,20,6,98,6,6,15,15,152.55754686182493,3.8358549773658592,1284.0,69,20,2723,738,554,158,1025,290,273,78
p80_p30_min3_sep7,wind_only_vs_reference,Dallas,3.0615253581057154,True,4519,1284,4,1109,118,35,8,85,6,6,15,15,169.45499062818286,2.519586477352338,1284.0,118,35,2490,686,704,218,1035,295,172,50
p80_p30_min3_sep7,wind_only_vs_reference,Denver,1.2918987697167843,True,6040,1284,5,1461,0,0,0,41,6,6,14,15,inf,3.357487304059484,1284.0,0,0,3185,676,1033,223,1632,344,190,41
p80_p30_min3_sep7,wind_only_vs_reference,Houston,3.6453227834111592,True,10963,1284,10,2687,480,55,11,118,6,6,15,15,479.56632765998353,3.1921343591748386,1284.0,480,55,5754,664,1706,207,2506,295,517,63
p80_p30_min3_sep7,wind_only_vs_reference,Los Angeles,2.380095750359386,True,9253,1284,8,2148,483,65,15,127,6,6,15,15,808.9202453787673,3.235304842427865,1283.9999999999998,483,65,5374,743,808,112,2154,302,434,62
p80_p30_min3_sep7,wind_only_vs_reference,New York,4.3431101229221625,True,10742,1284,9,2527,241,30,8,98,6,6,15,15,218.46606891109317,3.77862459166808,1284.0,241,30,6280,751,1205,142,2440,293,576,68
